2026-06-19 15:17:08 | INFO     | main                      | Starting application — initialising database
2026-06-19 15:17:08 | INFO     | database                  | Database tables created
2026-06-19 15:17:08 | DEBUG    | price_service             | subtotal=400.00 gst=36.36
2026-06-19 15:17:08 | INFO     | router.orders             | Created order: PO-TEST-001 with 2 items
2026-06-19 15:17:08 | INFO     | main                      | Shutting down application
2026-06-19 15:17:08 | INFO     | main                      | Starting application — initialising database
2026-06-19 15:17:08 | INFO     | database                  | Database tables created
2026-06-19 15:17:08 | INFO     | main                      | Shutting down application
2026-06-19 15:17:08 | INFO     | main                      | Starting application — initialising database
2026-06-19 15:17:08 | INFO     | database                  | Database tables created
2026-06-19 15:17:08 | DEBUG    | price_service             | subtotal=100.00 gst=9.09
2026-06-19 15:17:08 | INFO     | router.orders             | Created order: PO-DUP-001 with 1 items
2026-06-19 15:17:08 | INFO     | main                      | Shutting down application
2026-06-19 15:17:08 | INFO     | main                      | Starting application — initialising database
2026-06-19 15:17:08 | INFO     | database                  | Database tables created
2026-06-19 15:17:08 | DEBUG    | price_service             | subtotal=100.00 gst=9.09
2026-06-19 15:17:08 | INFO     | router.orders             | Created order: PO-GET-001 with 1 items
2026-06-19 15:17:08 | INFO     | main                      | Shutting down application
2026-06-19 15:17:08 | INFO     | main                      | Starting application — initialising database
2026-06-19 15:17:08 | INFO     | database                  | Database tables created
2026-06-19 15:17:08 | DEBUG    | price_service             | subtotal=100.00 gst=9.09
2026-06-19 15:17:08 | INFO     | router.orders             | Created order: PO-LIST-001 with 1 items
2026-06-19 15:17:08 | INFO     | router.orders             | list_orders page=1 total=1
2026-06-19 15:17:08 | INFO     | main                      | Shutting down application
2026-06-19 15:17:08 | INFO     | main                      | Starting application — initialising database
2026-06-19 15:17:08 | INFO     | database                  | Database tables created
2026-06-19 15:17:08 | DEBUG    | price_service             | subtotal=100.00 gst=9.09
2026-06-19 15:17:08 | INFO     | router.orders             | Created order: PO-STATUS-001 with 1 items
2026-06-19 15:17:08 | INFO     | router.orders             | Order PO-STATUS-001 status -> shipped
2026-06-19 15:17:08 | INFO     | main                      | Shutting down application
2026-06-19 15:17:08 | INFO     | main                      | Starting application — initialising database
2026-06-19 15:17:08 | INFO     | database                  | Database tables created
2026-06-19 15:17:08 | DEBUG    | price_service             | subtotal=100.00 gst=9.09
2026-06-19 15:17:08 | INFO     | router.orders             | Created order: PO-DEL-001 with 1 items
2026-06-19 15:17:08 | INFO     | router.orders             | Deleted order id=1
2026-06-19 15:17:08 | INFO     | main                      | Shutting down application
2026-06-19 15:17:08 | DEBUG    | price_service             | subtotal=100.00 gst=9.09
2026-06-19 15:17:08 | DEBUG    | price_service             | subtotal=845.00 gst=76.82
2026-06-19 15:17:08 | DEBUG    | price_service             | subtotal=0.00 gst=0.00
2026-06-19 15:17:08 | INFO     | main                      | Starting application — initialising database
2026-06-19 15:17:08 | INFO     | database                  | Database tables created
2026-06-19 15:17:08 | INFO     | main                      | Shutting down application
2026-06-19 15:17:08 | INFO     | main                      | Starting application — initialising database
2026-06-19 15:17:08 | INFO     | database                  | Database tables created
2026-06-19 15:17:08 | INFO     | router.products           | Created product: NEW001
2026-06-19 15:17:08 | INFO     | main                      | Shutting down application
2026-06-19 15:17:09 | INFO     | main                      | Starting application — initialising database
2026-06-19 15:17:09 | INFO     | database                  | Database tables created
2026-06-19 15:17:09 | INFO     | router.products           | Created product: DUP01
2026-06-19 15:17:09 | INFO     | main                      | Shutting down application
2026-06-19 15:17:09 | INFO     | main                      | Starting application — initialising database
2026-06-19 15:17:09 | INFO     | database                  | Database tables created
2026-06-19 15:17:09 | INFO     | main                      | Shutting down application
2026-06-19 15:17:09 | INFO     | main                      | Starting application — initialising database
2026-06-19 15:17:09 | INFO     | database                  | Database tables created
2026-06-19 15:17:09 | INFO     | main                      | Shutting down application
2026-06-19 15:17:09 | INFO     | main                      | Starting application — initialising database
2026-06-19 15:17:09 | INFO     | database                  | Database tables created
2026-06-19 15:17:09 | INFO     | router.products           | list_products page=1 total=1
2026-06-19 15:17:09 | INFO     | main                      | Shutting down application
2026-06-19 15:17:09 | INFO     | main                      | Starting application — initialising database
2026-06-19 15:17:09 | INFO     | database                  | Database tables created
